Distrito,Candidato,Partido,Pacto,Votos,%,Resultado,Año
38,Pablo Lorenzini Basso,PDC,Concertación por la Democracia,16 276,"25,11",Diputado,1997
38,Antonio Peredo Peredo,RN,Unión por Chile,10 345,"15,96",,1997
38,Waldo Fuentes Araya,PPD,Concertación por la Democracia,9598,"14,81",,1997
38,Carlos Zúñiga Díaz,PCCh,La Izquierda,5875,"9,06",,1997
38,Cristián Muñoz Cariaga,PH,Partido Humanista,971,"1,5",,1997
38,Jaime Aguilar Arévalo,PH,Partido Humanista,746,"1,15",,1997
39,Jaime Naranjo Ortiz,PS,Concertación por la Democracia,38 164,"50,21",Diputado,1997
39,Osvaldo Palma Flores,RN,Unión por Chile,14 463,"19,03",Diputado,1997
39,Fernando Larraín Lorca,ILB,Unión por Chile,10 749,"14,14",,1997
39,José Vargas Vega,PDC,Concertación por la Democracia,9626,"12,66",,1997
39,Wladimir Osvaldo Pulgar Díaz,PCCh,La Izquierda,1503,"1,98",,1997
39,Willams Rebolledo Vera,ILE,Chile 2000,958,"1,26",,1997
39,Marta Icarte Jorquera,PH,Partido Humanista,543,"0,71",,1997
40,Guillermo Ceroni Fuentes,PPD,Concertación por la Democracia,22 946,"35,07",Diputado,1997
40,Osvaldo Vega Vera,RN,Unión por Chile,20 013,"30,59",Diputado,1997
40,Alfonso Rodríguez del Río,ILB,Unión por Chile,11 145,"17,04",,1997
40,Hugo Aravena Méndez,PDC,Concertación por la Democracia,8439,"12,9",,1997
40,Walton Chamorro Díaz,PCCh,La Izquierda,1295,"1,98",,1997
40,Verónica Iter Cancino,PH,Partido Humanista,1011,"1,55",,1997
40,Octavio Enrique González Ojeda,PH,Partido Humanista,573,"0,88",,1997
41,Rosauro Martínez Labbé,ILB,Unión por Chile,49 722,"46,18",Diputado,1997
41,Carlos Abel Jarpa Wevar,PRSD,Concertación por la Democracia,33 558,"31,17",Diputado,1997
41,Alejandro Witker Velásquez,PS,Concertación por la Democracia,11 915,"11,07",,1997
41,Jack Behar Saravia,UDI,Unión Por Chile,5676,"5,27",,1997
41,Luis Antonio Ruiz De La Fuente,PCCh,La Izquierda,3925,"3,65",,1997
41,Luis Meléndez Cardoso,PH,Partido Humanista,2880,"2,67",,1997
42,Iván Mesías Lehu,PRSD,Concertación por la Democracia,38 532,"37,94",Diputado,1997
42,Felipe Letelier Norambuena,PPD,Concertación por la Democracia,26 342,"25,94",Diputado,1997
42,Javier Ávila Parada,RN,Unión por Chile,15 572,"15,33",,1997
