Distrito ,parlamentario/a,coalición ,partido político ,votos obtenidos,% obtenido ,año elección ,región 
5[d],Ricardo Cifuentes Lillo,NPS,DC,11 433,"4,83 %",2021,
5[d],Víctor Pino Fuentes,PDG,PDG,9260,"3,91 %",2021,
6[d],Diego Ibáñez Cotroneo,AD,CS,34 419,"9,69 %",2021,
6[d],María Francisca Bello Campos,AD,CS,8 757,"2,47 %",2021,
6[d],Carolina Marzán Pinto,NPS,PPD,33 429,"9,41 %",2021,
6[d],Nelson Venegas Salazar,NPS,PS,25 325,"7,13 %",2021,
6[d],Andrés Longton Herrera,ChP+,RN,29 163,"7,13 %",2021,
6[d],Camila Flores Oporto,ChP+,RN,16 461,"4,61 %",2021,
6[d],Chiara Barchiesi Chávez,FSC,PRCh,24 520,"6,91 %",2021,
6[d],Gaspar Rivas Sánchez,PDG,PDG,14 846,"4,18 %",2021,
7[d],Tomás Lagomarsino Guzmán,NPS,Ind-PR,26 349,"7,38 %",2021,
7[d],Tomás De Rementería Venegas,NPS,Ind-PS,5820,"1,63 %",2021,
7[d],Jorge Brito Hasbún,AD,RD,23 548,"6,60 %",2021,
7[d],Camila Rojas Valderrama,AD,COM,17 761,"4,61 %",2021,
7[d],Luis Cuello Peña y Lillo,AD,PCCh,13 305,"3,73 %",2021,
7[d],Andrés Celis Montt,ChP+,RN,19 101,"5,32 %",2021,
7[d],Hotuiti Teao Drago,ChP+,Ind-EVO,16 061,"4,50 %",2021,
7[d],Luis Sánchez Ossa,FSC,PRCh,16 347,"4,58 %",2021,
8[d],Carmen Hertz Cádiz,AD,PCCh,48 806,"10,38 %",2021,
8[d],Claudia Mix Jiménez,AD,COM,24 261,"5,16 %",2021,
8[d],Joaquín Lavín León,ChP+,UDI,33 111,"7,04 %",2021,
8[d],Cristián Labbé Martínez,ChP+,UDI,11 795,"2,51 %",2021,
8[d],Agustín Romero Leiva,FSC,PRCh,17 112,"3,46 %",2021,
8[d],Viviana Delgado Riquelme,PEV,PEV,20 036,"4,26 %",2021,
8[d],Alberto Undurraga Vicuña,NPS,DC,17 086,"3,63 %",2021,
8[d],Rubén Oyarzo Figueroa,PDG,PDG,6943,"1,48 %",2021,
9[d],Karol Cariola Oliva,AD,PCCh,78 719,"23,60 %",2021,
9[d],Boris Barrera Moreno,AD,PCCh,7763,"2,33 %",2021,
9[d],Maite Orsini Pascal,AD,RD,19 040,"5,71 %",2021,
9[d],Andrés Giordano Salazar,AD,Ind-RD,2842,"0,85 %",2021,
9[d],Jorge Durán Espinoza,ChP+,RN,21 794,"6,53 %",2021,
9[d],Érika Olivera De la Fuente,ChP+,Ind-RN,13 803,"4,14 %",2021,
9[d],José Carlos Meza Pereira,FSC,PRCh,14 737,"4,42 %",2021,
10[d],Gonzalo Winter Etcheberry,AD,CS,66 590,"14,58 %",2021,
10[d],Lorena Fries Monleón,AD,Ind-CS,11 545,"2,53 %",2021,
10[d],Emilia Schneider Videla,AD,COM,26 130,"5,72 %",2021,
10[d],Alejandra Placencia Cabello,AD,PCCh,17 970,"3,93 %",2021,
10[d],Jorge Alessandri Vergara,ChP+,UDI,49 419,"10,82 %",2021,
10[d],María Luisa Cordero Velásquez,ChP+,IND-RN,20 498,"4,49 %",2021,
10[d],Johannes Kaiser Barents-Von Hohenhagen,FSC,PRCh,26 610,"5,82 %",2021,
10[d],Helia Molina Milman,NPS,PPD,18 907,"4,14 %",2021,
11[d],Gonzalo de la Carrera Correa,FSC,PRCh,46 032,"11,15 %",2021,
11[d],Cristián Araya Lerdo de Tejada,FSC,PRCh,16 734,"4,05 %",2021,
11[d],Francisco Undurraga Gazitúa,ChP+,EVO,43 372,"10,50 %",2021,
11[d],Guillermo Ramírez Diez,ChP+,UDI,40 321,"9,76 %",2021,
11[d],Catalina del Real Mihovilovic,ChP+,RN,28 300,"6,85 %",2021,
11[d],Tomás Hirsch Goldschmidt,AD,Ind-COM,28 501,"6,90 %",2021,
12[d],Pamela Jiles Moreno,DA,PH,77 136,"19,66 %",2021,
12[d],Hernán Palma Pérez,DA,PH,948,"0,24 %",2021,
12[d],Mónica Arce Castro,DA,IND-PH,1046,"0,27 %",2021,
12[d],Ximena Ossandón Irarrázabal,ChP+,RN,41 010,"10,45 %",2021,
12[d],Álvaro Carter Fernández,ChP+,Ind-UDI,30 764,"7,84 %",2021,
12[d],Ana María Gazmuri Vieira,AD,Ind-COM,28 401,"7,24 %",2021,
12[d],Daniela Serrano Salazar,AD,PCCh,14 727,"3,75 %",2021,
13[d],Gael Yeomans Araya,AD,CS,31 405,"13,11 %",2021,
13[d],Lorena Pizarro Sierra,AD,PCCh,20 788,"8,68 %",2021,
13[d],Cristhian Moreira Barros,ChP+,UDI,16 571,"6,92 %",2021,
13[d],Eduardo Durán Salinas,ChP+,RN,14 559,"6,08 %",2021,
13[d],Daniel Melo Contreras,NPS,PS,12 076,"5,04 %",2021,
14[d],Marisela Santibáñez Novoa,AD,PCCh,55 755,"17,72 %",2021,
14[d],Camila Musante Müller,AD,Ind-COM,12 335,"3,79 %",2021,
14[d],Raúl Leiva Carvajal,NPS,PS,40 850,"12,54 %",2021,
14[d],Leonardo Soto Ferrada,NPS,PS,20 791,"6,38 %",2021,
14[d],Juan Antonio Coloma Álamos,ChP+,UDI,34 767,"10,67 %",2021,
14[d],Juan Irarrázaval Rossel,FSC,PRCh,13 223,"4,06 %",2021,
15[d],Raúl Soto Mardones,NPS,PPD,55 072,"27,76 %",2021,
15[d],Marta González Olea,NPS,Ind-PPD,1968,"0,99 %",2021,
15[d],Diego Schalper Sepúlveda,ChP+,RN,17 091,"8,61 %",2021,
15[d],Natalia Romero Talguia,ChP+,Ind-UDI,10 327,"5,20 %",2021,
15[d],Marcela Riquelme Aliaga,AD,Ind-CS,11 493,"5,79 %",2021,
16[d],Carla Morales Maldonado,ChP+,RN,16 044,"11,38 %",2021,
16[d],Eduardo Cornejo Lagos,ChP+,UDI,10 862,"8,01 %",2021,
16[d],Cosme Mellado Pino,NPS,PR,13 469,"9,93 %",2021,
16[d],Félix Bugueño Sotelo,AD,FRVS,9035,"6,66 %",2021,
17[d],Hugo Rey Martínez,ChP+,RN,17 694,"7,32 %",2021,
17[d],Jorge Guzmán Zepeda,ChP+,EVO,12 648,"5,25 %",2021,
17[d],Felipe Donoso Castro,ChP+,UDI,11 761,"4,87 %",2021,
17[d],Alexis Sepúlveda Soto,NPS,PR,14 027,"5,81 %",2021,
17[d],Benjamín Moreno Bascur,FSC,PRCh,16 705,"6,91 %",2021,
17[d],Mercedes Bulnes Núñez,AD,Ind-RD,8418,"3,48 %",2021,
17[d],Francisco Pulgar Castillo,IU,Ind-CU,23 049,"9,54 %",2021,
18[d],Paula Labra Besserer,ChP+,Ind-RN,13 037,"11,06 %",2021,
18[d],Gustavo Benavente Vergara,ChP+,UDI,8 089,"6,86 %",2021,
18[d],Jaime Naranjo Ortiz,NPS,PS,15 015,"12,73 %",2021,
18[d],Consuelo Veloso Ávila,AD,RD,8913,"7,56 %",2021,
19[d],Cristóbal Martínez Ramírez,ChP+,UDI,29 941,"17,79 %",2021,
19[d],Marta Bravo Salinas,ChP+,UDI,11 260,"6,69 %",2021,
19[d],Frank Sauberbaum Muñoz,ChP+,RN,15 560,"9,24 %",2021,
19[d],Felipe Camaño Cárdenas,NPS,Ind-PDC,8102,"4,81 %",2021,
19[d],Sara Concha Smith,FSC,PCC,5298,"3,15 %",2021,
20[d],Francesca Muñoz González,ChP+,RN,32 061,"9,25 %",2021,
20[d],Leonidas Romero Sáez,ChP+,RN,11 777,"3,40 %",2021,
20[d],Sergio Bobadilla Muñoz,ChP+,UDI,23 732,"6,84 %",2021,
