Distrito;Candidato;Partido;Pacto;Votos;%;Resultado;Año
3;85. NAYARIT ARTEAGA VALENZUELA;IND-PI;AN. Dignidad Ahora;1314;0,72%;;2021
3;86. PEDRO LUIS LUQUE ARANCIBIA;PH;AN. Dignidad Ahora;873;0,48%;;2021
3;87. ELIANA DE LOURDES ROJAS BUGUEÑO;PH;AN. Dignidad Ahora;697;0,38%;;2021
3;88. MARCELA RUZ ANDRADE;PREP;AP. Frente Social Cristiano;6730;3,69%;;2021
3;89. VITTORIO VALDÉS CORON;PREP;AP. Frente Social Cristiano;2032;1,11%;;2021
3;90. RITA MARIA HOJAS ESCRICH;PREP;AP. Frente Social Cristiano;1212;0,67%;;2021
3;91. ROSSE-MARY RAND CONTRERAS;PREP;AP. Frente Social Cristiano;921;0,51%;;2021
3;92. MACARENA ALEJANDRA PIZARRO VILLARROEL;IND-PREP;AP. Frente Social Cristiano;1160;0,64%;;2021
3;93. ROGELIA FRANCISCA CONTRERAS LIJERON;IND-PREP;AP. Frente Social Cristiano;1039;0,57%;;2021
3;94. CATALINA PEREZ SALINAS;RD;AR. Apruebo Dignidad;13199;7,24%;Diputada;2021
3;95. VIANNEY PAOLA SIERRALTA ARACENA;IND-RD;AR. Apruebo Dignidad;4485;2,46%;;2021
3;96. JACQUELINE AVILA VILCA;FREVS;AR. Apruebo Dignidad;3143;1,72%;;2021
3;97. FERNANDO SAN ROMAN BASCUÑAN;IND-FREVS;AR. Apruebo Dignidad;4569;2,51%;;2021
3;98. MARIA ANGELICA OJEDA GONZALEZ;PCCH;AR. Apruebo Dignidad;4883;2,68%;;2021
3;99. PABLO ANDRES IRIARTE RAMIREZ;PCCH;AR. Apruebo Dignidad;5799;3,18%;;2021
3;100. JUAN PAULO BASTERRECHEA MADRID;NT;AT. Nuevo Tiempo;1334;0,73%;;2021
