Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
12,Arturo Squella Ovalle,Alianza,Unión Demócrata Independiente,30108,"24,75%",2009
12,Marcelo Schilling Rodríguez,Concertación,Partido Socialista,24124,"19,83%",2009
13,Aldo Cornejo Gonález,Concertación,Democracia Cristiana ,40582,"31,04%",2009
13,Joaquín Godoy Ibáñez,Alianza,Renovación Nacional,38183,"29,20%",2009
14,Rodrigo González Torres,Concertación,Partido por la Democracia ,41168,"25,89%",2009
14,Edmundo Eluchans Urenda,Alianza,Unión Demócrata Independiente,45829,"28,82%",2009
15,Víctor Torres Jeldes,Concertación,Democracia Cristiana ,18102,"21,11%",2009
15,María José Hoffmann Opazo,Alianza,Unión Demócrata Independiente,20585,"24,00%",2009
16,Gabriel Silber Romo,Concertación,Democracia Cristiana ,48333,"29,39%",2009
16,Patricio Melero Abaroa,Alianza,Unión Demócrata Independiente,58306,"35,45%",2009
17,Karla Rubilar Barahona,Alianza,Renovación Nacional,46572,"33,15%",2009
17,María Antonieta Saa Díaz,Concertación,Partido por la Democracia ,45798,"32,60%",2009
18,Cristina Girardi Lavín,Concertación,Partido por la Democracia ,51669,"34,35%",2009
18,Nicolás Monckeberg Díaz,Alianza,Renovación Nacional,40782,"27,11%",2009
19,Patricio Hales Dib,Concertación,Partido por la Democracia ,39126,"38,12%",2009
19,Claudia Nogueira Fernández,Alianza,Unión Demócrata Independiente,38297,"37,31%",2009
20,Pepe Auth Stewart,Concertación,Partido por la Democracia ,49981,"20,70%",2009
20,Mónica Zalaquett Said,Alianza,Unión Demócrata Independiente,56168,"23,26%",2009
21,Jorge Burgos Varela,Concertación,Democracia Cristiana ,52982,"29,79%",2009
21,Marcela Sabat Fernández,Alianza,Renovación Nacional,48732,"27,40%",2009
22,Felipe Harboe Bascuñán,Concertación,Partido por la Democracia ,42060,"38,66%",2009
22,Alberto Cardemil Herrera,Alianza,Renovación Nacional,38949,"35,80%",2009
23,Ernesto Silva Méndez,Alianza,Unión Demócrata Independiente,60272,"27,95%",2009
23,Cristián Monckeberg Bruner,Alianza,Renovación Nacional,77484,"35,93%",2009
24,Enrique Accorsi Opazo,Concertación,Partido por la Democracia ,31383,"23,19%",2009
24,María Angélica Cristi Marfil,Alianza,Unión Demócrata Independiente,44969,"33,24%",2009
25,Ximena Vidal Lázaro,Concertación,Partido por la Democracia ,43794,"30,81%",2009
25,Felipe Salaberry Soto,Alianza,Unión Demócrata Independiente,28444,"20,01%",2009
26,Carlos Montes Cisternas,Concertación,Partido Socialista,71173,"50,44%",2009
26,Gustavo Hasbún Selume,Alianza,Unión Demócrata Independiente,36438,"25,82%",2009
27,Tucapel Jiménez Fuentes,Concertación,Partido por la Democracia ,47765,"31,89%",2009
27,Iván Moreira Barros,Alianza,Unión Demócrata Independiente,53683,"35,84%",2009
28,Guillermo Teillier del Valle,Concertación,Partido Comunista,49040,"33,52%",2009
28,Pedro Browne Urrejola,Alianza,Renovación Nacional,31882,"21,79%",2009
29,Osvaldo Andrade Lara,Concertación,Partido Socialista,55152,"29,88%",2009
29,Leopoldo Pérez Lahsen,Alianza,Renovación Nacional,45464,"24,63%",2009
30,Ramón Farías Ponce,Concertación,Partido por la Democracia ,29335,"19,27%",2009
30,José Antonio Kast Rist,Alianza,Unión Demócrata Independiente,53423,"35,10%",2009
31,Denise Pascal Allende,Concertación,Partido Socialista,52763,"32,23%",2009
31,Gonzalo Uriarte Herrera,Alianza,Unión Demócrata Independiente,60833,"37,16%",2009
32,Juan Luis Castro González,Concertación,Partido Socialista,27772,"30,76%",2009
32,Alejandro García-Huidobro,Alianza,Unión Demócrata Independiente,31346,"34,71%",2009
33,Ricardo Rincón González,Concertación,Democracia Cristiana ,38057,"32,45%",2009
